y Gr,2_or_less,Over_2,Over_3,Over_4,Over_5,Over_6,Over_7,Over_8,Over_9,Over_10,Over_11,Over_12,Over_13,Over_14,Over_15,Over_16,Over_17,Over_18,Over_19,Over_20,Over_21,Over_22,Over_23,Over_24,Over_25,Over_26,Over_27,Over_28,Over_29,Over_30,Over_31,Over_32,Over_33,Over_34,Over_35,Over_36,Over_37,Over_38,Over_39,Over_40
O-10,,,,,,,,,,,,,,,,,,,,16072.20,16072.20,16150.50,16150.50,16486.80,16486.80,17071.50,17071.50,17071.50,17071.50,17925.30,17925.30,17925.30,17925.30,18821.10,18821.10,18821.10,18821.10,19762.50,19762.50,19762.50
O-9,,,,,,,,,,,,,,,,,,,,14056.80,14056.80,14259.90,14259.90,14552.10,14552.10,15062.40,15062.40,15062.40,15062.40,15816.00,15816.00,15816.00,15816.00,16606.80,16606.80,16606.80,16606.80,17436.90,17436.90,17436.90
O-8,9946.20,10272.00,10488.30,10548.60,10548.60,10818.60,10818.60,11269.20,11269.20,11373.90,11373.90,11802.00,11802.00,11924.70,11924.70,12293.40,12293.40,12827.10,12827.10,13319.10,13319.10,13647.30,13647.30,13647.30,13647.30,13647.30,13647.30,13647.30,13647.30,13989.00,13989.00,13989.00,13989.00,14338.50,14338.50,14338.50,14338.50,14338.50,14338.50,14338.50
O-7,8264.40,8648.40,8826.00,8967.30,8967.30,9222.90,9222.90,9475.80,9475.80,9767.70,9767.70,10059.00,10059.00,10351.20,10351.20,11269.20,11269.20,12043.80,12043.80,12043.80,12043.80,12043.80,12043.80,12043.80,12043.80,12105.60,12105.60,12105.60,12105.60,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70,12347.70
O-6,6267.00,6885.30,7337.10,7337.10,7337.10,7365.00,7365.00,7680.90,7680.90,7722.30,7722.30,7722.30,7722.30,8161.20,8161.20,8937.00,8937.00,9392.70,9392.70,9847.80,9847.80,10106.70,10106.70,10369.20,10369.20,10877.70,10877.70,10877.70,10877.70,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90,11094.90
O-5,5224.50,5885.70,6292.80,6369.60,6369.60,6624.00,6624.00,6776.10,6776.10,7110.30,7110.30,7356.00,7356.00,7673.10,7673.10,8158.50,8158.50,8388.90,8388.90,8617.20,8617.20,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40,8876.40
O-4,4507.80,5218.20,5566.50,5643.90,5643.90,5967.00,5967.00,6313.80,6313.80,6745.80,6745.80,7081.50,7081.50,7314.90,7314.90,7449.30,7449.30,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70,7526.70
O-3,3963.60,4492.80,4849.20,5287.20,5287.20,5540.70,5540.70,5818.80,5818.80,5998.20,5998.20,6293.70,6293.70,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20,6448.20
O-2,3424.50,3900.30,4491.90,4643.70,4643.70,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40,4739.40
O-1,2972.40,3093.90,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10,3740.10
W-5,,,,,,,,,,,,,,,,,,,,7283.10,7283.10,7652.40,7652.40,7927.50,7927.50,8232.30,8232.30,8232.30,8232.30,8644.50,8644.50,8644.50,8644.50,9076.20,9076.20,9076.20,9076.20,9530.70,9530.70,9530.70
W-4,4095.90,4406.10,4532.40,4656.90,4656.90,4871.10,4871.10,5083.20,5083.20,5298.00,5298.00,5620.80,5620.80,5904.00,5904.00,6173.40,6173.40,6393.90,6393.90,6608.70,6608.70,6924.60,6924.60,7184.10,7184.10,7480.20,7480.20,7480.20,7480.20,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60,7629.60
W-3,3740.40,3896.40,4056.30,4108.80,4108.80,4276.20,4276.20,4605.90,4605.90,4949.10,4949.10,5110.80,5110.80,5297.70,5297.70,5490.30,5490.30,5836.50,5836.50,6070.50,6070.50,6210.30,6210.30,6359.10,6359.10,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60,6561.60
W-2,3309.90,3622.80,3719.40,3785.40,3785.40,4000.20,4000.20,4333.80,4333.80,4499.10,4499.10,4661.70,4661.70,4860.90,4860.90,5016.30,5016.30,5157.30,5157.30,5325.90,5325.90,5436.60,5436.60,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50,5524.50
W-1,2905.50,3218.10,3302.10,3479.70,3479.70,3690.00,3690.00,3999.60,3999.60,4144.20,4144.20,4346.10,4346.10,4545.00,4545.00,4701.60,4701.60,4845.30,4845.30,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50,5020.50
